ID,Name,Type,Latitude,Longitude
380575,Manchester,location,53.48095,-2.23743
412946,"Hale, Manchester",location,53.37831,-2.33271
465675,Manchester,location,42.99564,-71.45479
465389,Manchester,location,41.77593,-72.52148
315108,Manchester,airport,53.36442,-2.275187
316382,Manchester,airport,42.92944,-71.43667
